ID,Title,Alt Title,Special Mode Title,Locations,Comments
71,On Windy Meadows,0,0,Cutscenes (1.0),0
72,Twilight Over Thanalan,0,0,Cutscenes (1.0),0
73,Dewdrops & Moonbeams,0,0,The Lotus Stand (Kan-E-Senna),0
74,The Sands' Secrets,0,0,Eorzean Alliance (Raubahn),0
75,Ripples in the Sea,0,0,Eorzean Alliance (Merlwyb),0
76,Imperial Will,0,0,Cutscenes (Empire),0
77,Defender of the Realm,0,0,Cutscenes (Heroic),0
78,Fracture,0,0,Cutscenes (Suspense),0
79,One Blood,0,0,Cutscenes (Tension),0
80,Conundrum,0,0,Cutscenes (Mysterious/Hildibrand),0
81,Prelude - Rebirth,0,0,Cutscenes,Remix with a slightly different harp
82,Return of the Hero,0,0,Cutscenes (Resolution),0
83,Kiss of Chaos,0,0,Cutscenes (Tension),0
84,Forever Lost,0,0,Cutscenes (Sad),0
85,Machinations,0,0,Wolves' Den / Northern Thanalan Sanctuaries,0
86,The Only Path,0,0,Cutscenes (Positive),0
87,Daring Dalliances,0,0,Cutscenes (Positive),0
88,Bliss,0,0,Cutscenes (Comedic),0
89,A World Apart,0,0,Cutscenes (Heroic),0
90,Relics,0,0,Cutscenes (esp. Job quests),0
91,Breaking Boundaries,0,0,Job quest battles,0
92,The Echo,0,0,Cutscenes,0
93,Tranquility,0,0,Cutscenes (Resolution),0
94,Without Shadow,0,0,Cutscenes (Ascians),0
95,The Seventh Sun / Dawn of a New Era,0,0,Cutscenes,"Opens with The Seventh Sun, transitions to Dawn of a New Era"
96,Sacred Bonds,0,0,Cutscenes (Sad),0
97,Canticle,0,0,Cutscenes (Exposition),0
98,Where the Heart Is,0,0,Cutscenes (Resolution),1.0 track
99,Dreams Aloft,0,0,Cutscenes (Resolution),0
100,Supply & Demand,0,0,Cutscenes (Comedic),1.0 track
101,By Design,0,0,Cutscenes (Comedic),1.0 track
102,Decisions,0,0,"Cutscenes (Mysterious), Little Ladies' Day",1.0 track
103,Agent of Inquiry,0,0,Hildibrand Theme,0
104,0,0,0,0,0
105,Nature's Bounty,0,0,"Cutscenes, Eternal Bonding",1.0 track
106,Falling Shards,0,0,"Various, Eternal Bonding",Harp-only version of Prelude
107,Pennons Aloft,0,0,"Instanced battles, Fenrir battle",1.0 track
108,Battle Theme 1.x,0,0,Hildibrand FATEs/Hall of the Novice/B-ranks,0
109,0,0,0,0,0
110,Salt Swept,0,0,Aleport/Moraby Drydocks,0
111,???,0,0,0,"Needs location & name, is an early unused version of A Reason To Live"
112,My Soul to Keep,0,0,Haukke Manor/Tam-Tara HM,0
113,From Fear to Fortitude,0,0,Instanced battles,0
114,Damnation,0,0,Cutscenes (Suspense),0
115,Hard to Miss,0,0,Boss FATEs,0
116,A Fell Air Falleth,0,0,Later ARR Dungeons,0
117,Skullduggery,0,0,Instanced battles/Qarn HM,0
118,Another Round,0,0,Bars and Taverns,0
119,Ruby Sunrise,0,0,Costa del Sol,0
120,Primal Judgement,0,0,The Bowl of Embers,0
121,The Rider's Boon,0,0,ARR mounts,0
122,Cracks in the Wall,0,0,Amdapor Keep,0
123,A Tonberry's Tears,0,0,The Wanderer's Palace,0
124,Echoes of Ages Past,0,0,The Sunken Temple of Qarn,0
125,Abomination,0,0,Cutter's Cry,0
126,Cold Salvation,0,0,The Stone Vigil,0
127,The Darkhold,0,0,Dzemael Darkhold,0
128,Miser's Folly,0,0,The Aurum Vale,0
129,Engage,0,0,The Enterprise,0
130,Fever Dream,0,0,Cutscenes (Tension),Excerpt from a longer 1.0 track
131,Serving the Light,0,0,Warrior of Light,0
132,Answers,0,0,ARR End Credits,0
133,Opening Theme,0,0,ARR End Credits Special/1.0 players,1.0 ending
134,A Curious Breed of Botherment,0,0,East Shroud (Sylphs),0
135,Flightless Wings,0,0,North Shroud (Ixals),0
136,"Quick as Silver, Hard as Stone",0,0,Outer La Noscea (Kobolds),0
137,Battle Drums,0,0,Western La Noscea (Sahagin),1.0 track
138,Pitfire,0,0,Southern Thanalan (Amal'jaa),1.0 track
139,0,0,0,0,0
140,0,0,0,0,0
141,Fealty,0,0,Coerthas Central Highlands,0
142,The Dragon's Dirge,0,0,Coerthas Central Highlands (Whitebrim),0
143,Undying Faith,0,0,Coerthas Central Highlands (Observatorium),0
144,The Land Breaks,0,0,Coerthas Central Highlands battle,0
145,The Land Bleeds,0,0,Mor Dhona battle,0
146,Primal Timbre,0,Spiral,The Binding Coil of Bahamut,0
147,Calamity Unbound,0,0,The Binding Coil of Bahamut bosses,0
148,The Emperor's Wont,0,0,Imperial Castrums,0
149,Penitus,0,0,The Praetorium,0
150,Ultima,0,0,Ultima Weapon Phase 2,0
151,Steel Reason,0,0,Cape Westwind/Garlean boss fights,0
152,Bite of the Black Wolf,0,0,Gaius van Baelsar theme,Rise of the White Raven (199) with no vocals
153,The Corpse Hall,0,0,Odin FATE,0
154,Thunderer,0,0,Special FATEs,0
155,Fallen Angel,0,0,The Howling Eye,0
156,Under the Weight,0,0,The Navel (Titan) phase 5,0
157,Weight of a Whisper,0,0,The Navel (Titan) phase 1,0
158,Weight of His Will,0,0,The Navel (Titan) phase 2,0
159,Weight of the World,0,0,The Navel (Titan) phase 3,0
160,Heartless,0,0,The Navel (Titan) phase 4,0
161,Flight,0,0,Ultima Escape,0
162,The Maker's Ruin,0,0,Ultima Weapon Phase 1,0
163,Blinded by Light,0,0,FFXIII crossover FATEs,Directly from FFXIII
164,Saber's Edge,0,0,FFXIII crossover FATEs,Directly from FFXIII
165,Torn from the Heavens,0,0,ARR Zone special FATEs/ARR Relic duties,1.0 Track
166,Ruby Moonrise,0,0,Costa del Sol events,"Fast ""Costa Del Sol"" music"
167,Serenity,0,0,The Shroud,0
168,On Westerly Winds,0,0,La Noscea,0
169,To the Sun,0,0,Thanalan,0
170,Crystal Rain,0,0,Mor Dhona,0
171,To the Fore,0,0,Heavensward dungeon boss theme,The filename seems to imply this is from a FATE
172,The Rider's Boon,0,0,Generic ARR Mounts,Also the 1.0 Goobbue theme
173,Thunderer,0,0,"Ascian battles, Twintania",0
174,All Saints' Wake,0,0,Seasonal event BGM areas,0
175,Starlight Celebration,0,0,Seasonal event BGM areas,0
176,Heavensturn,0,0,Seasonal event BGM areas,0
177,Reign of Pain,0,0,Shantotto theme (FFXI event),0
178,The Seven Jesters,0,0,Thornmarch Phase 1,0
179,Good King Moggle Mog XII,0,0,Thornmarch Phase 2,0
180,Hubris,0,Ever Upwards,Labyrinth of the Ancients,0
181,Tumbling Down,0,0,Labyrinth of the Ancients boss theme,0
182,Agent of Inquiry,0,0,Hildibrand episode theme,0
183,Frontiers Within,0,0,Revenant's Toll (day),0
184,Reflections,0,0,Revenant's Toll (night),0
185,A Light in the Storm,0,0,Pharos Sirius,0
186,Where the Heart Is,0,0,"The Mist, The Lavender Beds, The Goblet (day)",0
187,Where the Hearth Is,0,0,"The Mist, The Lavender Beds, The Goblet (night)",0
188,Flibbertigibbet,0,0,East Shroud (Friendly Sylph area),0
189,Smoulder,0,0,Southern Thanalan (Friendly Amalj'aa area),0
190,Discordance,0,0,Cutscenes (Mysterious),"Loops. See track 57, Discordance"
191,Starlight and Sellswords,0,0,Aesthetician,1.0 track
192,Battle Theme 1.x,0,0,Hildibrand FATEs/Hall of the Novice/B-ranks,0
193,Big-Boned,0,0,Fat Chocobo Theme,0
194,Gluppity-Schlopp,0,0,Outer La Noscea (Friendly Kobold area),0
195,Breathless,0,0,Western La Noscea (Friendly Sahagin area),0
196,Pa-Paya,0,0,Seasonal event BGM areas (Hatching-tide),0
197,The Scars of Battle,0,0,Lost City of Amdapor,0
198,Tempest,0,0,The Second Coil of Bahamut (Turn 4) (Nael deus Darnus) phase 1,0
199,Rise of the White Raven,0,0,The Second Coil of Bahamut (Turn 4) (Nael deus Darnus) phase 2,0
200,Good King Moggle Mog XII,0,0,Thornmarch (Good King Moggle Mog XII) phase 2,0
201,Battle on the Big Bridge,0,0,Battle on the Big Bridge (Gilgamesh),0
202,Blades,0,Spiral,Second Coil/Final Coil trash music,0
203,Wreck to the Seaman,0,0,The Whorleater (Leviathan) phase 1,0
204,Through The Maelstrom,0,0,The Whorleater (Leviathan) phase 2,0
205,Meteor,0,0,Cutscenes (Nael),0
206,Persistence,0,0,ARR mid-dungeon boss theme,0
207,Wrath of the Eikons,0,0,The Lost City of Amdapor final boss / Dun Scaith final boss (Diabolos / Diabolos Hollow),0
208,Fury,0,0,Brayflox's Longstop (Hard) boss,1.0 track
209,Beneath Bloodied Banners,0,0,Hard mode dungeon final bosses,0
210,Birds of a Feather,0,0,Halatali (Hard),1.0 track
211,Thicker Than a Knife's Blade,0,0,"Various cutscenes, Foundation (The Forgotten Knight)",0
212,Now I Know the Truth,0,0,Unei and Doga theme,0
213,???,0,0,Seasonal event BGM areas,"China lunar new year theme, needs name"
214,Moonfire Faire,0,0,Moonfire Faire,0
215,Far from Home,0,0,Ixal theme,0
216,Horizons Calling,0,0,Hullbreaker Isle,0
217,Dark Vows,0,0,Tam-Tara Deepcroft (Hard),0
218,Out of the Labyrinth,0,Shattered,The Syrcus Tower,0
219,The War Room,0,0,Frontlines,Gate waiting theme
220,Rouse Out!,0,Blood for Blood,Frontlines,0
221,Thunder Rolls,0,0,The Striking Tree (Ramuh),0
222,Game Theory,0,0,Puzzles/Minigames Theme,0
223,Loss of Time,0,0,Cutscenes (Crystal tower),0
224,Or the Egg,0,0,Chocobo training montage,0
225,His Holiness,The Dragon's Dirge,0,Cutscenes (Thordan),0
226,Answers - Reprise,0,0,Ul'dah (The Rising),0
227,The Corpse Hall,0,0,Urth's Fount,0
228,Everbinding Oath,0,0,Eternal Bond ceremony,0
229,The Edge,0,0,Ninja trainer hideout,0
230,Footsteps in the Snow,0,0,"Akh Afah Amphitheatre (Shiva) phase 1, Eden's Verse: Refulgence (Savage) (Shiva) phase 1",0
231,Oblivion,0,0,Akh Afah Amphitheatre (Shiva) phase 2,0
232,The Decisive Battle,0,0,The Dragon's Neck,Directly from FFVI
233,The Warrens,0,0,Snowcloak,0
234,Forgotten by the Sun,0,0,The Sunken Temple of Qarn (Hard),0
235,Riptide,0,0,Sastasha (Hard),0
236,From the Ashes,0,0,The Final Coil of Bahamut (Turn 3) (Phoenix),0
237,Answers,0,0,The Final Coil of Bahamut (Turn 4) (Bahamut Prime),Harp / vocals portion
238,Answers,0,0,The Final Coil of Bahamut (Turn 4) (Bahamut Prime),Band / vocals portion
239,The Coil Tightens,0,0,Cutscenes (The Binding Coil of Bahamut),0
240,Answers,0,0,The Final Coil of Bahamut (Turn 4) (Bahamut Prime),Chorus portion
241,Eternal Wind,0,0,Cutscenes (Crystal tower),0
242,Battle on the Big Bridge,0,0,Battle in the Big Keep Phase 1,Directly from FFV
243,Silver Tears,0,0,The Keeper of the Lake,0
244,Primogenitor,0,0,"The Keeper of the Lake final boss (Midgardsormr), Alphascape v2.0 (Midgardsormr)",Generally just Midgardsormr's theme
245,Tricksome,0,0,Wanderer's Palace (Hard),0
246,Aftermath,0,0,Amdapor Keep (Hard),0
247,Blind to the Dark,0,Hamartomania,The World of Darkness,0
248,Tumbling Down,0,0,The World of Darkness (Cerberus Stomach),Muffled
249,Hunger / The Reach of Darkness,0,0,The World of Darkness,"Hunger into ""The Reach of Darkness"""
250,Four-Sided Circle,0,0,Manderville Gold Saucer,0
251,Gateway to Paradise,0,0,Chocobo racing 1,0
252,Sport of Kings,0,0,Chocobo racing 2,0
253,Shuffle or Boogie,0,0,Triple Triad,Directly from FFVIII
254,Faith in Her Fury,0,0,The Steps of Faith,0
255,Unworthy,0,0,The Steps of Faith final gate theme,0
256,The Tug of Fate,0,0,The Wanderer's Palace (Hard) bosses,1.0 Hamlet defense track
257,To the Fore,0,0,The Wanderer's Palace (Hard) final boss,0
258,Chocobo Victory 1,0,0,Chocobo racing,0
259,Chocobo Victory 2,0,0,Chocobo racing,0
260,Chocobo Victory 3,0,0,Chocobo racing,0
261,Drum Roll,0,0,Chocobo racing,0
262,Magiteknical Difficulties,0,0,Magitek Armor mount,Terra's Theme (FFVI) remix
263,The Corpse Hall,0,0,Sleipnir mount,0
264,Oblivion,0,0,Akh Afah Amphitheatre (Extreme) (Shiva) mount,0
265,Thunder Rolls,0,0,The Striking Tree (Extreme) (Ramuh) mount,0
266,Through The Maelstorm,0,0,The Whorleater (Extreme) (Leviathan) mount,0
267,Under the Weight,0,0,The Navel (Extreme) (Titan) mount,0
268,Fallen Angel,0,0,The Howling Eye (Extreme) (Garuda) mount,0
269,Primal Judgement,0,0,The Bowl of Embers (Extreme) (Ifrit) mount,0
270,Null BGM,0,0,0,Empty sound
271,A Cold Wind,0,0,Heavensward title screen,0
272,Dragonsong,0,0,Heavensward credits,0
273,Shelter,0,0,Heavensward sanctuary music,0
274,Safety In Numbers,0,0,Heavensward sanctuary music 2,0
275,Nobility Obliges,0,0,The Pillars (day),0
276,Nobility Sleeps,0,0,The Pillars (night),0
277,Solid,0,0,The Foundation (day),0
278,Night in the Brume,0,0,The Foundation (night),0
279,Against the Wind,0,0,Coerthas Western Highlands (day),0
280,Black and White,0,0,Coerthas Western Highlands (night),0
281,Melt,0,0,Coerthas Western Highlands combat,"All ""Melt"" are the same track"
282,Painted Foothills,0,0,Dravanian Forelands (day),0
283,Painted Skies,0,0,Dravanian Forelands (night),0
284,Melt,0,0,Dravanian Forelands combat,"All ""Melt"" are the same track"
285,Missing Pages,0,0,Dravanian Hinterlands (day),0
286,The Silent Regard of Stars,0,0,Dravanian Hinterlands (night),0
287,Melt,0,0,Dravanian Hinterlands combat,"All ""Melt"" are the same track"
288,Landlords,0,0,Churning Mists (day),0
289,Skylords,0,0,Churning Mists (night),0
290,Melt,0,0,Churning Mists combat,"All ""Melt"" are the same track"
291,Lost in the Clouds,0,0,Sea of Clouds (day),0
292,Close to the Heavens,0,0,Sea of Clouds (night),0
293,Melt,0,0,Sea of Clouds combat,"All ""Melt"" are the same track"
294,Order Yet Undeciphered,0,0,Azys Lla,0
295,Melt,0,0,Azys Lla combat,"All ""Melt"" are the same track"
296,Paradise Found,0,0,Idyllshire (day),0
297,Homestead,0,0,Idyllshire (night),0
298,The Mushroomery,0,0,Matoya's Cave,0
299,Descent,0,0,Dusk Vigil,0
300,Like a Summer Rain,0,0,Neverreap,0
301,Slumber Eternal,0,0,Sohm Al,0
302,Roar of the Wyrm,0,0,The Aery,0
303,Ink Long Dry,0,0,Great Gubal Library,0
304,Imagination,0,0,Aetherochemical Research Facility,0
305,Hallowed Halls,0,0,The Vault,0
306,Hallowed Halls,0,0,The Vault,Slightly muffled
307,Hallowed Halls,0,0,The Vault,Slightly more muffled
308,Unbreakable,0,0,Fractal Continuum,0
309,Ominous Prognisticks,0,0,Heavensward boss theme,0
310,The Hand That Gives The Rose,0,0,Thok ast Thok (Ravana) phase 1,0
311,Limitless Blue,0,0,The Limitless Blue (Bismarck) phase 1,0
312,Heroes,0,0,"The Singularity Reactor, The Minstrel's Ballad: Thordan's Reign phase 2",0
313,Contention,0,0,"Heavensward cutscenes, Churning Mists (Zenith)",0
314,Misconception,0,0,Heavensward cutscenes,0
315,The Heavens' Ward,0,0,Vault final boss (Ser Charibert),0
316,Stone and Steel,0,0,Heavensward cutscenes (Heroic),0
317,For the Sky,0,0,Heavensward cutscenes,0
318,Inception,0,0,Heavensward cutscenes,0
319,Borderless,0,0,Default flying mount theme,0
320,The Dragon's Dirge,0,0,Heavensward cutscenes,This version loops
321,Ultima,0,0,"Proto Ultima FATE, Proto Ultima battle (Dun Scaith)",0
322,What is Love?,0,0,The Churning Mists (Moogles),0
323,"Sins of the Father, Sins of the Son",0,0,Alexander trash theme,0
324,Locus,0,0,Alexander boss theme,0
325,Unbending Steel,0,0,Thok ast Thok phase 2,0
326,Woe That Is Madness,0,0,The Limitless Blue phase 2,0
327,Metal,0,Metal,Alexander - Fist of the Father,"Instrumental, vocals begin when in combat"
328,When a Tree Falls,0,0,FC workshop/leves,1.0 track
329,Toll of the Bells,0,0,The Vault,Seems to be bells from The Vault judging by filename
330,All Saint's Wake,0,0,Witch's Broom mount,0
331,Steel Reason,0,0,Red Baron / White Devil mounts,0
332,Battle Theme,0,0,The Maiden's Rhapsody (FFXI),0
333,Battle Theme #2,0,0,The Maiden's Rhapsody (FFXI),0
334,Recollection,0,0,The Maiden's Rhapsody (FFXI),0
335,The Kingdom of San d'Oria,0,0,The Maiden's Rhapsody (FFXI),0
336,The Republic of Bastok,0,0,The Maiden's Rhapsody (FFXI),0
337,The Federation of Windurst,0,0,The Maiden's Rhapsody (FFXI),0
338,The Merry Wanderer Waltz,0,0,0,"Same as 399, but the filename seems to imply this is a Hildibrand theme"
339,Heavy Rain,0,0,Sea of Clouds (Hostile Vanu area),0
340,Coming Home,0,0,Sea of Clouds (Friendly Vanu area),0
341,Heroes Never Die,0,0,The Minstrel's Ballad: Thordan's Reign phase 1,0
342,Engage,0,0,The Diadem,0
343,Jewel,0,0,The Diadem combat,0
344,Torn from The Heavens,0,0,The Diadem Notorious Monster battle,"Loops at the same point as 36, but is different"
345,Poison Ivy,0,0,Saint Mocianne's Arboretum,0
346,Upon the Rocks,0,0,Pharos Sirius (Hard),0
347,Aetherpause,Aetherosphere,"In Darkness, There Is One",Void Ark,0
348,Voidal Manifest,Six Fulms Under,0,"Void Ark (Echidna), The Weeping City of Mhach (Calofisteri) final bosses",0
349,???,0,0,Lords of Verminion,Needs name
350,Brothers in Arms,0,0,Lords of Verminion,File is specific to LoV
351,Nemesis,0,0,Lords of Verminion,File is specific to LoV
352,The Dark's Kiss,0,0,Lords of Verminion,File is specific to LoV
353,Aftermath,0,0,Lords of Verminion,File is specific to LoV
354,The Corpse Hall,0,0,Lords of Verminion,File is specific to LoV
355,Battle on the Big Bridge,0,0,Lords of Verminion,File is specific to LoV
356,Spiral,0,0,Lords of Verminion,File is specific to LoV
357,Calamity Unbound,0,0,Lords of Verminion,File is specific to LoV
358,Prelude - Rebirth (2nd ver),0,0,Kirin mount,81 that plays on Kirin
359,The Kiss,0,0,Valentione's Day,0
360,test,0,0,0,Likely test or filler audio
361,Down the Up Staircase,0,0,The Antitower,0
362,Dancing Calcabrina,0,0,The Antitower,0
363,"No Sound, No Scutter",0,0,"The Dravanian Forelands (Vath, hostile)",0
364,Piece of Mind,0,0,"The Dravanian Forelands (Vath, friendly)",0
365,Battle to the Death - Heavensward,0,0,Containment Bay S1T7 (Sephirot) / Containment Bay P1T6 (Sophia) / Containment Bay Z1T9 (Zurvan) phase 1,0
366,Fiend,0,0,Containment Bay S1T7 (Sephirot) phase 2,0
367,Starved,0,Dangertek,The Feast,"Transitions to ""Dangertek"" during ""Culling Time"""
368,The Ancient City,0,0,The Lost City of Amdapor (Hard),0
369,Metal - Brute Justice Mode,0,0,Alexander - The Burden of the Son (Brute Justice) phase 2,0
370,test,0,0,0,Likely test or filler audio
371,Woe That is Madness,0,0,The Limitless Blue (Extreme) (Bismarck) mount / White Lanner,0
372,Unbending Steel,0,0,Thok ast Thok (Extreme) (Ravana) mount / Rose Lanner,0
373,Heroes,0,0,The Minstrel's Ballad: Thordan's Reign (Thordan) mount / Round Lanner,0
374,Battle to the Death - Heavensward,0,0,Containment Bay S1T7 (Sephirot) mount / Warring Lanner,0
375,Tenacity,0,0,Guildhests,0
376,From the Ashes,0,0,Bennu mount,0
377,Faith in Her Fury,0,0,Heavensward cutscenes,Shorter/quick start version
378,Stone and Steel,0,0,Heavensward cutscenes,Shorter/quick start version
379,Primogenitor,0,0,Heavensward cutscenes,Shorter/quick start version
380,Hyper Rainbow Z,0,0,Go Go Posing Rangers Theme,Also plays in PotD occasionally
381,Freedom,0,0,The Parrock,A 1.0 La Noscea theme
382,Dragonsong,0,0,The Final Steps of Faith (Nidhogg) / The Minstrel's Ballad: Nidhogg's Rage (Nidhogg) phase 1,0
383,Freefall,0,0,The Final Steps of Faith (Nidhogg) / The Minstrel's Ballad: Nidhogg's Rage (Nidhogg) phase 2,0
384,Revenge of the Horde,0,0,The Final Steps of Faith (Nidhogg) / The Minstrel's Ballad: Nidhogg's Rage (Nidhogg) phase 3,0
385,He Who Continues the Attack,0,0,Regula van Hydrus's Theme,0
386,Apologies,0,0,Sohr Khai,0
387,Holy Consult,0,0,Hullbreaker Isle (Hard),1.0 track
388,Bathed in Woodsin,0,0,0,1.0 track
389,Emerald Labyrinth,0,0,PotD,1.0 track
390,Enraptured,0,0,PotD,1.0 track
391,Tears for Mor Dhona,0,0,PotD,1.0 track
392,Blackbosom,0,0,PotD Floor 50 boss/Edda Blackbosom theme,0
393,Teardrops in the Rain,0,Torrent,Weeping City of Mhach,0
394,A Thousand Faces,0,0,Weeping City of Mhach (Ozma add phase),0
395,Freefall,0,0,The Minstrel's Ballad: Nidhogg's Rage (Nidhogg) mount / Dark Lanner,0
396,Good King Moggle Mog XII,0,0,Fat Moogle Mount,0
397,Locus,0,0,Gobwalker Mount,0
398,Night in the Brume,0,0,Heavensward cutscenes,Variant of 278
399,The Merry Wanderer Waltz,0,0,Palace of the Dead inter-floor theme,0
400,Fragments of Forever,0,0,Alisaie Theme,1.0 track
401,Notice of Death,0,0,PotD pre-floor 100 cutscenes,0
402,Equilibrium,0,0,Containment Bay P1T6 (Sophia) phase 2,0
403,The Gauntlet,0,0,Duel / Lost Canals of Uznair / Palace of the Dead,0
404,Ultima,0,0,Dun Scaith (Proto Ultima),Quick start
405,Grounded,0,0,Xelphatol,0
406,Revenge Twofold,0,0,Heavensward boss theme 2,0
407,Bibliophobia,0,0,The Great Gubal Library (Hard),0
408,Up at Dawn,0,0,The Haunted Manor (All Saint's Wake),0
409,Fog of Phantom,0,0,PotD 91-100 theme,0
410,Blasphemous Experiment,0,0,PotD floor 100 boss theme,0
411,Exponential Entropy,0,0,Alexander - The Heart of the Creator (Cruise Chaser),0
412,Mobius,0,0,Alexander - The Soul of the Creator (Alexander Prime) phase 1,0
413,Rise,0,Stasis Loop,Alexander - The Soul of the Creator (Alexander Prime) phase 2,"""Stasis Loop"" on another channel, used during time-stop mechanic"
414,Out of Time,0,0,Alexander - The Soul of the Creator (Alexander Prime) timegate theme,"Muffled, slow Exponential Entropy"
415,Equilibrium,0,0,Containment Bay P1T6 (Extreme) (Sophia) mount / Sophic Lanner,0
416,Mobius,0,0,Alexander - The Soul of the Creator (Savage) mount / Arrhidaeus,0
417,Infinity,0,0,Containment Bay Z1T9 (Zurvan) phase 3,0
418,test,0,0,0,Likely test or filler audio
419,Penultimania,0,0,Containment Bay Z1T9 / Zurvan Phase 2,0
420,Another Brick,0,0,Baelsar's Wall,0
421,Quicksand,0,0,Sohm Al (Hard),0
422,Promises,0,0,Dun Scaith / Deathgaze Hollow,0
423,Shadow of the Body,0,0,Dun Scaith,0
424,Infinity,0,0,Containment Bay Z1T9 (Extreme) (Zurvan) mount / Demonic Lanner,0
425,Prelude - Discoveries,0,0,Firebird mount,3 that plays on Firebird
426,Answers - Reprise,0,0,Ul'dah (The Rising),0
427,Null BGM,0,0,0,Empty sound
428,Prelude - Long March Home,0,0,Stormblood title screen,0
429,Revolutions / A Father's Pride / The Measure of Our Reach,0,0,Stormblood credits,Revolutions excerpt into A Father's Pride into The Measure of Our Reach
430,Harmony,0,0,Stormblood sanctuaries,0
431,With Giants Watching,0,0,Stormblood sanctuaries,0
432,Cradle,0,0,Stormblood sanctuaries,0
433,Impact,0,0,Rhalgr's Reach,0
434,Afterglow,0,0,Rhalgr's Reach,0
435,Looping in the Deepest Fringes,0,0,Gyr Abania combat,"All ""Looping in the Deepest Fringes"" are the same track"
436,Crimson Sunrise,0,0,Kugane (day),0
437,Crimson Sunset,0,0,Kugane (night),0
438,Looping in the Deepest Fringes,0,0,Othard combat,"All ""Looping in the Deepest Fringes"" are the same track"
439,Beyond The Wall,0,0,The Fringes (day),0
440,Hope Forgotten,0,0,The Fringes (night),0
441,Looping in the Deepest Fringes,0,0,The Fringes combat,"All ""Looping in the Deepest Fringes"" are the same track"
442,On High,0,0,The Peaks (day),0
443,The Stone Remembers,0,0,The Peaks (night),0
444,Looping in the Deepest Fringes,0,0,The Peaks combat,"All ""Looping in the Deepest Fringes"" are the same track"
445,Songs of Salt and Suffering,0,0,The Lochs (day),0
