ID,Title,Alt Title,Special Mode Title,Locations,Comments
84,永遠の離別 ,,,Cutscenes (Sad),0
85,軍議,,,Wolves' Den / Northern Thanalan Sanctuaries,0
86,ただひとつの道,,,Cutscenes (Positive),0
87,日溜り,,,Cutscenes (Positive),0
88,無常の喜び ,,,Cutscenes (Comedic),0
89,そして世界へ,,,Cutscenes (Heroic),0
90,古のジョブ,,,Cutscenes (esp. Job quests),0
91,極限を超えて,,,Job quest battles,0
92,追憶の迷路,,,Cutscenes,0
93,静かなる一刻,,,Cutscenes (Resolution),0
94,忍び寄る闇,,,Cutscenes (Ascians),0
95,第七星暦 / 新時代の暁,,,Cutscenes,"Opens with The Seventh Sun, transitions to Dawn of a New Era"
96,哀愁,,,Cutscenes (Sad),0
97,祈りの歌,,,Cutscenes (Exposition),0
98,心温まる場所,,,Cutscenes (Resolution),1.0 track
99,夢見るは遙かなる空,,,Cutscenes (Resolution),0
100,街路の雑踏,,,Cutscenes (Comedic),1.0 track
101,バイデザイン,,,Cutscenes (Comedic),1.0 track
102,駆け引き,,,"Cutscenes (Mysterious), Little Ladies' Day",1.0 track
103,事件屋のアレ,,,Hildibrand Theme,0
104,,,,0,0
105,自然の賜物,,,"Cutscenes, Eternal Bonding",1.0 track
106,舞い散る輝き,,,"Various, Eternal Bonding",Harp-only version of Prelude
107,槍旗,,,"Instanced battles, Fenrir battle",1.0 track
108,戦闘シーン1.X,,,Hildibrand FATEs/Hall of the Novice/B-ranks,0
109,,,,0,0
110,潮風香る街,,,Aleport/Moraby Drydocks,0
111,???,,,0,"Needs location & name, is an early unused version of A Reason To Live"
112,我が魂を捧げて,,,Haukke Manor/Tam-Tara HM,0
113,豪勇の士,,,Instanced battles,0
114,破滅,,,Cutscenes (Suspense),0
115,宿命 ,,,Boss FATEs,0
116,戦士の直感,,,Later ARR Dungeons,0
117,奸計,,,Instanced battles/Qarn HM,0
118,もう一杯！ ,,,Bars and Taverns,0
119,輝く太陽,,,Costa del Sol,0
120,原始の審判,,,The Bowl of Embers,0
121,その背に揺られて,,,ARR mounts,0
122,古城にて…… ,,,Amdapor Keep,0
123,トンベリの涙,,,The Wanderer's Palace,0
124,昔日の残響,,,The Sunken Temple of Qarn,0
125,憎悪,,,Cutter's Cry,0
126,極寒戦線,,,The Stone Vigil,0
127,ゼーメル要塞,,,Dzemael Darkhold,0
128,守銭奴の愚行,,,The Aurum Vale,0
129,蒼き翼,,,The Enterprise,0
130,前触れ,,,Cutscenes (Tension),Excerpt from a longer 1.0 track
131,光の加護,,,Warrior of Light,0
132,Answers,,,ARR End Credits,0
133,オープニングテーマ,,,ARR End Credits Special/1.0 players,1.0 ending
134,世にも奇妙な厄介者,,,East Shroud (Sylphs),0
135,猛き嵐の剣に,,,North Shroud (Ixals),0
136,疾きこと銀の如く、硬きこと石の如く,,,Outer La Noscea (Kobolds),0
137,蛮勇,,,Western La Noscea (Sahagin),1.0 track
138,炎獄の火種,,,Southern Thanalan (Amal'jaa),1.0 track
139,,,,0,0
140,,,,0,0
141,忠義 ,,,Coerthas Central Highlands,0
142,竜の葬送歌,,,Coerthas Central Highlands (Whitebrim),0
143,鋼の信仰,,,Coerthas Central Highlands (Observatorium),0
144,雪山の鼓動,,,Coerthas Central Highlands battle,0
145,水晶の鼓動,,,Mor Dhona battle,0
146,真実を求めて,,螺旋,The Binding Coil of Bahamut,
147,試練を超える力,,,The Binding Coil of Bahamut bosses,0
148,魔導の軍勢,,,Imperial Castrums,0
149,魔導城プラエトリウム,,,The Praetorium,0
150,究極幻想,,,Ultima Weapon Phase 2,0
151,鋼の理念,,,Cape Westwind/Garlean boss fights,0
152,漆黒の王狼、咆吼せり,,,Gaius van Baelsar theme,Rise of the White Raven (199) with no vocals
153,斬,,,Odin FATE,0
154,雷鳴,,,Special FATEs,0
155,堕天せし者 ,,,The Howling Eye,0
156,過重圧殺！　〜蛮神タイタン討滅戦〜,,,The Navel (Titan) phase 5,0
157,タイタンの慟哭,,,The Navel (Titan) phase 1,0
158,タイタンの憤怒,,,The Navel (Titan) phase 2,0
159,タイタンの激震,,,The Navel (Titan) phase 3,0
160,タイタンの心核 ,,,The Navel (Titan) phase 4,0
161,終局 ,,,Ultima Escape,0
162,神なき世界,,,Ultima Weapon Phase 1,0
163,閃光,,,FFXIII crossover FATEs,Directly from FFXIII
164,ブレイズエッジ,,,FFXIII crossover FATEs,Directly from FFXIII
165,天より降りし力,,,ARR Zone special FATEs/ARR Relic duties,1.0 Track
166,爆ぜよ耐熱装備 ,,,Costa del Sol events,"Fast ""Costa Del Sol"" music"
167,静穏の森 ,,,The Shroud,0
168,西風に乗せて,,,La Noscea,0
169,灼熱の地へ,,,Thanalan,0
170,クリスタルの雨,,,Mor Dhona,0
171,全隊前へ！,,,Heavensward dungeon boss theme,The filename seems to imply this is from a FATE
172,その背に揺られて,,,Generic ARR Mounts,Also the 1.0 Goobbue theme
173,雷鳴,,,"Ascian battles, Twintania",0
174,守護天節,,,Seasonal event BGM areas,0
175,星芒祭,,,Seasonal event BGM areas,0
176,降神祭,,,Seasonal event BGM areas,0
177,黒き悪魔 ,,,Shantotto theme (FFXI event),0
178,七匹の道化たち,,,Thornmarch Phase 1,0
179,善王モグル・モグXII世,,,Thornmarch Phase 2,0
180,傲慢,,Ever Upwards,Labyrinth of the Ancients,
181,奈落へ ,,,Labyrinth of the Ancients boss theme,0
182,事件屋のアレ,,,Hildibrand episode theme,0
183,フロンティア,,,Revenant's Toll (day),0
184,リフレクション ,,,Revenant's Toll (night),0
185,嵐の中の灯火,,,Pharos Sirius,0
186,心温まる場所 ,,,"The Mist, The Lavender Beds, The Goblet (day)",0
187,体暖まる場所,,,"The Mist, The Lavender Beds, The Goblet (night)",0
188,イタズラっ子たち,,,East Shroud (Friendly Sylph area),0
189,燻る灰,,,Southern Thanalan (Friendly Amalj'aa area),0
190,不調和,,,Cutscenes (Mysterious),"Loops. See track 57, Discordance"
191,桟道を上りて,,,Aesthetician,1.0 track
192,戦闘シーン1.X,,,Hildibrand FATEs/Hall of the Novice/B-ranks,0
193,でぶチョコボ騎乗,,,Fat Chocobo Theme,0
194,クズテツどもの歌,,,Outer La Noscea (Friendly Kobold area),0
195,ノォヴ一味,,,Western La Noscea (Friendly Sahagin area),0
196,Pa-Paya,,,Seasonal event BGM areas (Hatching-tide),0
197,魔大戦の傷跡 　〜腐敗遺跡 古アムダプール市街〜,,,Lost City of Amdapor,0
198,戦乱,,,The Second Coil of Bahamut (Turn 4) (Nael deus Darnus) phase 1,0
199,白銀の凶鳥、飛翔せり,,,The Second Coil of Bahamut (Turn 4) (Nael deus Darnus) phase 2,0
200,善王モグル・モグXII世,,,Thornmarch (Good King Moggle Mog XII) phase 2,0
201,ビッグブリッヂの死闘　〜新生〜,,,Battle on the Big Bridge (Gilgamesh),0
202,剣と剣　〜大迷宮　バハムート侵攻編〜,,螺旋,Second Coil/Final Coil trash music,0
203,船乗りには難破を　〜蛮神リヴァイアサン前哨戦〜,,,The Whorleater (Leviathan) phase 1,0
204,混沌の渦動　〜蛮神リヴァイアサン討滅戦：女性版〜,,,The Whorleater (Leviathan) phase 2,0
205,メテオ,,,Cutscenes (Nael),0
206,不屈の挑戦,,,ARR mid-dungeon boss theme,0
207,怒れる神々,,,The Lost City of Amdapor final boss / Dun Scaith final boss (Diabolos / Diabolos Hollow),0
208,憤怒,,,Brayflox's Longstop (Hard) boss,1.0 track
209,紅蓮の戦旗の下に　〜剣闘領域 ハラタリ修練所〜,,,Hard mode dungeon final bosses,0
210,キャラバン護衛　〜剣闘領域 ハラタリ修練所〜,,,Halatali (Hard),1.0 track
211,刃、厚いほどに,,,"Various cutscenes, Foundation (The Forgotten Knight)",0
212,ドーガとウネの心,,,Unei and Doga theme,0
213,???,,,Seasonal event BGM areas,"China lunar new year theme, needs name"
214,紅蓮祭,,,Moonfire Faire,0
215,何よりも高く,,,Ixal theme,0
216,地平線の彼方　〜財宝伝説 ハルブレーカー・アイル〜,,,Hullbreaker Isle,0
217,漆黒の誓い　〜惨劇霊殿 タムタラの墓所〜,,,Tam-Tara Deepcroft (Hard),0
218,絢爛　〜クリスタルタワー：シルクスの塔〜,,破砕 〜クリスタルタワー：シルクスの塔〜,The Syrcus Tower,
219,作戦会議室,,,Frontlines,Gate waiting theme
220,総員抜剣！,,血で血を洗って,Frontlines,
221,雷光雷鳴　〜蛮神ラムウ討滅戦〜,,,The Striking Tree (Ramuh),0
222,ゲーム理論,,,Puzzles/Minigames Theme,0
223,時はこぼれ落ちて,,,Cutscenes (Crystal tower),0
224,卵が先か？,,,Chocobo training montage,0
225,教皇,,,Cutscenes (Thordan),0
226,Answers - Reprise,,,Ul'dah (The Rising),0
227,斬,,,Urth's Fount,0
228,永遠の誓い,,,Eternal Bond ceremony,0
229,忍びの刃,,,Ninja trainer hideout,0
230,雪上の足跡　〜蛮神シヴァ前哨戦〜,,,"Akh Afah Amphitheatre (Shiva) phase 1, Eden's Verse: Refulgence (Savage) (Shiva) phase 1",0
231,忘却の彼方　〜蛮神シヴァ討滅戦〜,,,Akh Afah Amphitheatre (Shiva) phase 2,0
232,決戦,,,The Dragon's Neck,Directly from FFVI
233,秘密坑道　〜氷結潜窟 スノークローク大氷壁〜,,,Snowcloak,0
234,落日の遺跡　〜遺跡救援 カルン埋没寺院〜,,,The Sunken Temple of Qarn (Hard),0
235,潮衝　〜逆襲要害 サスタシャ浸食洞〜,,,Sastasha (Hard),0
236,灰より生まれし者,,,The Final Coil of Bahamut (Turn 3) (Phoenix),0
237,Answers,,,The Final Coil of Bahamut (Turn 4) (Bahamut Prime),Harp / vocals portion
238,Answers,,,The Final Coil of Bahamut (Turn 4) (Bahamut Prime),Band / vocals portion
239,侵攻,,,Cutscenes (The Binding Coil of Bahamut),0
240,Answers,,,The Final Coil of Bahamut (Turn 4) (Bahamut Prime),Chorus portion
241,悠久の風　〜新生〜,,,Cutscenes (Crystal tower),0
242,ビッグブリッヂの死闘　〜新生〜,,,Battle in the Big Keep Phase 1,Directly from FFV
243,銀の涙　〜幻龍残骸 黙約の塔〜,,,The Keeper of the Lake,0
244,始祖たる幻龍,,,"The Keeper of the Lake final boss (Midgardsormr), Alphascape v2.0 (Midgardsormr)",Generally just Midgardsormr's theme
245,聖域の罠　〜武装聖域 ワンダラーパレス〜,,,Wanderer's Palace (Hard),0
246,戦禍　〜邪念排撃 古城アムダプール〜,,,Amdapor Keep (Hard),0
247,薄闇　〜クリスタルタワー：闇の世界〜,,暗闇 〜クリスタルタワー：闇の世界〜,The World of Darkness,
248,奈落へ,,,The World of Darkness (Cerberus Stomach),Muffled
249,死闘の序曲 / 最後の死闘　〜新生〜,,,The World of Darkness,"Hunger into ""The Reach of Darkness"""
250,マンダヴィル・ゴールドソーサー,,,Manderville Gold Saucer,0
251,天国の扉,,,Chocobo racing 1,0
252,チョコボレース,,,Chocobo racing 2,0
253,Shuffle or Boogie,,,Triple Triad,Directly from FFVIII
254,戦神の教義　〜皇都イシュガルド防衛戦〜,,,The Steps of Faith,0
255,仇敵　〜皇都イシュガルド防衛戦〜,,,The Steps of Faith final gate theme,0
256,運命の導き,,,The Wanderer's Palace (Hard) bosses,1.0 Hamlet defense track
257,全隊前へ！,,,The Wanderer's Palace (Hard) final boss,0
258,チョコボレース優勝1,,,Chocobo racing,0
259,チョコボレース優勝2,,,Chocobo racing,0
260,チョコボレース優勝3,,,Chocobo racing,0
261,チョコボレース,,,Chocobo racing,0
262,魔導仕掛けの友,,,Magitek Armor mount,Terra's Theme (FFVI) remix
263,斬,,,Sleipnir mount,0
264,忘却の彼方　〜蛮神シヴァ討滅戦〜,,,Akh Afah Amphitheatre (Extreme) (Shiva) mount,0
265,雷光雷鳴　〜蛮神ラムウ討滅戦〜,,,The Striking Tree (Extreme) (Ramuh) mount,0
266,混沌の渦動　〜蛮神リヴァイアサン討滅戦〜,,,The Whorleater (Extreme) (Leviathan) mount,0
267,過重圧殺！　〜蛮神タイタン討滅戦〜,,,The Navel (Extreme) (Titan) mount,0
268,堕天せし者　〜蛮神ガルーダ討伐戦〜,,,The Howling Eye (Extreme) (Garuda) mount,0
269,原始の審判　〜蛮神イフリート討伐戦〜,,,The Bowl of Embers (Extreme) (Ifrit) mount,0
270,無,,,0,Empty sound
271,雪風,,,Heavensward title screen,0
272,Dragonsong,,,Heavensward credits,0
273,旅の宿,,,Heavensward sanctuary music,0
274,みんなでいれば怖くない,,,Heavensward sanctuary music 2,0
275,ノブレス・オブリージュ　〜イシュガルド上層：昼〜,,,The Pillars (day),0
276,ノブレス・スリープス　〜イシュガルド上層：夜〜,,,The Pillars (night),0
277,堅牢　〜イシュガルド下層：昼〜,,,The Foundation (day),0
278,雲霧街の夜霧　〜イシュガルド下層：夜〜,,,The Foundation (night),0
279,風に向かって　〜クルザス西部高地：昼〜,,,Coerthas Western Highlands (day),0
280,黒闇と白雪　〜クルザス西部高地：夜〜,,,Coerthas Western Highlands (night),0
281,熱戦　〜イシュガルド地方：戦闘〜,,,Coerthas Western Highlands combat,"All ""Melt"" are the same track"
282,彩られし山麓　〜高地ドラヴァニア：昼〜,,,Dravanian Forelands (day),0
283,彩られし夜空　〜高地ドラヴァニア：夜〜,,,Dravanian Forelands (night),0
284,熱戦　〜イシュガルド地方：戦闘〜,,,Dravanian Forelands combat,"All ""Melt"" are the same track"
285,欠けた頁　〜低地ドラヴァニア：昼〜,,,Dravanian Hinterlands (day),0
286,静寂の星空　〜低地ドラヴァニア：夜〜,,,Dravanian Hinterlands (night),0
287,熱戦　〜イシュガルド地方：戦闘〜,,,Dravanian Hinterlands combat,"All ""Melt"" are the same track"
288,ランドロード　〜ドラヴァニア雲海：昼〜,,,Churning Mists (day),0
289,スカイロード　〜ドラヴァニア雲海：夜〜,,,Churning Mists (night),0
290,熱戦　〜イシュガルド地方：戦闘〜,,,Churning Mists combat,"All ""Melt"" are the same track"
291,雲に隠れて　〜アバラシア雲海：昼〜,,,Sea of Clouds (day),0
292,天上の世界　〜アバラシア雲海：夜〜,,,Sea of Clouds (night),0
293,熱戦　〜イシュガルド地方：戦闘〜,,,Sea of Clouds combat,"All ""Melt"" are the same track"
294,未解読法則　〜魔大陸アジス・ラー〜,,,Azys Lla,0
295,熱戦　〜イシュガルド地方：戦闘〜,,,Azys Lla combat,"All ""Melt"" are the same track"
296,約束の地,,,Idyllshire (day),0
297,ホームステッド,,,Idyllshire (night),0
298,マトーヤの洞窟　〜蒼天〜,,,Matoya's Cave,0
299,堕落　〜廃砦捜索 ダスクヴィジル〜,,,Dusk Vigil,0
300,夏の雨の如く　〜神域浮島 ネバーリープ〜,,,Neverreap,0
301,永遠の眠り　〜霊峰踏破 ソーム・アル〜,,,Sohm Al,0
302,邪竜の咆吼　〜邪竜血戦 ドラゴンズエアリー〜,,,The Aery,0
303,万世の言葉　〜禁書回収 グブラ幻想図書館〜,,,Great Gubal Library,0
304,イマジネーション　〜蒼天聖戦 魔科学研究所〜,,,Aetherochemical Research Facility,0
305,聖座　〜強硬突入 イシュガルド教皇庁〜,,,The Vault,0
306,聖座　〜強硬突入 イシュガルド教皇庁〜,,,The Vault,Slightly muffled
307,聖座　〜強硬突入 イシュガルド教皇庁〜,,,The Vault,Slightly more muffled
308,アンブレーカブル　〜博物戦艦 フラクタル・コンティニアム〜,,,Fractal Continuum,0
309,不吉なる前兆,,,Heavensward boss theme,0
310,武神降臨　〜蛮神ラーヴァナ前哨戦〜,,,Thok ast Thok (Ravana) phase 1,0
311,果てなき蒼　〜蛮神ビスマルク前哨戦〜,,,The Limitless Blue (Bismarck) phase 1,0
312,英傑は死なず　〜蒼天幻想 ナイツ・オブ・ラウンド討滅戦〜,,,"The Singularity Reactor, The Minstrel's Ballad: Thordan's Reign phase 2",0
313,闘争,,,"Heavensward cutscenes, Churning Mists (Zenith)",0
314,誤想,,,Heavensward cutscenes,0
315,蒼天騎士団,,,Vault final boss (Ser Charibert),0
316,石と鋼,,,Heavensward cutscenes (Heroic),0
317,天のため,,,Heavensward cutscenes,0
318,発端,,,Heavensward cutscenes,0
319,国境なき空,,,Default flying mount theme,0
320,竜の葬送歌,,,Heavensward cutscenes,This version loops
321,究極幻想,,,"Proto Ultima FATE, Proto Ultima battle (Dun Scaith)",0
322,それは愛くぽ？,,,The Churning Mists (Moogles),0
323,製造者責任　〜機工城アレキサンダー：起動編〜,,,Alexander trash theme,0
324,ローカス　〜機工城アレキサンダー：起動編〜,,,Alexander boss theme,0
325,曲がらぬ刃　〜蛮神ラーヴァナ討滅戦〜,,,Thok ast Thok phase 2,0
326,狂気なる災厄　〜蛮神ビスマルク討滅戦〜,,,The Limitless Blue phase 2,0
327,メタル　〜機工城アレキサンダー：起動編〜,,メタル　〜機工城アレキサンダー：起動編〜,Alexander - Fist of the Father,"Instrumental, vocals begin when in combat"
328,汗を流して,,,FC workshop/leves,1.0 track
329,鐘声 ～強硬突入 イシュガルド教皇庁～,,,The Vault,Seems to be bells from The Vault judging by filename
330,守護天節,,,Witch's Broom mount,0
331,鋼の理念,,,Red Baron / White Devil mounts,0
332,Battle Theme,,,The Maiden's Rhapsody (FFXI),0
333,Battle Theme #2,,,The Maiden's Rhapsody (FFXI),0
334,Recollection,,,The Maiden's Rhapsody (FFXI),0
335,サンドリア王国,,,The Maiden's Rhapsody (FFXI),0
336,バストゥーク共和国,,,The Maiden's Rhapsody (FFXI),0
337,ウィンダス連邦,,,The Maiden's Rhapsody (FFXI),0
338,メリー・ワンダラー・ワルツ,,,0,"Same as 399, but the filename seems to imply this is a Hildibrand theme"
339,雷雨の如く,,,Sea of Clouds (Hostile Vanu area),0
340,大らかな家,,,Sea of Clouds (Friendly Vanu area),0
341,英傑は死なず　〜蒼天幻想 ナイツ・オブ・ラウンド討滅戦〜,,,The Minstrel's Ballad: Thordan's Reign phase 1,0
342,蒼き翼,,,The Diadem,0
343,宝石　〜雲海探索 ディアデム諸島〜,,,The Diadem combat,0
344,天より降りし力,,,The Diadem Notorious Monster battle,"Loops at the same point as 36, but is different"
345,有毒植物　〜草木庭園 聖モシャーヌ植物園〜,,,Saint Mocianne's Arboretum,0
346,座礁　〜制圧巨塔 シリウス大灯台〜,,,Pharos Sirius (Hard),0
347,エーテル圏 ～魔航船ヴォイドアーク～,,深淵に潜む者 〜魔航船ヴォイドアーク〜,Void Ark,
348,ヴォイドの棺 ～魔航船ヴォイドアーク～,,,"Void Ark (Echidna), The Weeping City of Mhach (Calofisteri) final bosses",0
349,???,,,Lords of Verminion,Needs name
350,戦友,,,Lords of Verminion,File is specific to LoV
351,ネメシス,,,Lords of Verminion,File is specific to LoV
352,闇の口付,,,Lords of Verminion,File is specific to LoV
353,戦禍　〜邪念排撃 古城アムダプール〜,,,Lords of Verminion,File is specific to LoV
354,斬,,,Lords of Verminion,File is specific to LoV
355,ビッグブリッヂの死闘,,,Lords of Verminion,File is specific to LoV
356,螺旋,,,Lords of Verminion,File is specific to LoV
357,試練を超える力,,,Lords of Verminion,File is specific to LoV
358,プレリュード　〜再誕の煌めき〜,,,Kirin mount,81 that plays on Kirin
359,純愛の口づけ,,,Valentione's Day,0
360,,,,0,Likely test or filler audio
361,上り階段をくだれ　〜星海観測 逆さの塔〜,,,The Antitower,0
362,踊る人形カルコブリーナ　〜蒼天〜,,,The Antitower,0
363,繋がりし者たち,,,"The Dravanian Forelands (Vath, hostile)",0
364,分かたれし者たち,,,"The Dravanian Forelands (Vath, friendly)",0
365,死闘　〜蒼天〜,,,Containment Bay S1T7 (Sephirot) / Containment Bay P1T6 (Sophia) / Containment Bay Z1T9 (Zurvan) phase 1,0
366,魔神　〜魔神セフィロト討滅戦〜,,,Containment Bay S1T7 (Sephirot) phase 2,0
367,餓えた狼　〜ザ・フィースト〜,,,The Feast,"Transitions to ""Dangertek"" during ""Culling Time"""
368,古の都　〜神聖遺跡 古アムダプール市街〜,,,The Lost City of Amdapor (Hard),0
369,メタル：ブルートジャスティスモード　〜機工城アレキサンダー：律動編〜,,,Alexander - The Burden of the Son (Brute Justice) phase 2,0
370,,,,0,Likely test or filler audio
371,狂気なる災厄　〜蛮神ビスマルク討滅戦〜,,,The Limitless Blue (Extreme) (Bismarck) mount / White Lanner,0
372,曲がらぬ刃　〜蛮神ラーヴァナ討滅戦〜,,,Thok ast Thok (Extreme) (Ravana) mount / Rose Lanner,0
373,英傑　〜ナイツ・オブ・ラウンド討滅戦〜,,,The Minstrel's Ballad: Thordan's Reign (Thordan) mount / Round Lanner,0
374,死闘　〜蒼天〜,,,Containment Bay S1T7 (Sephirot) mount / Warring Lanner,0
375,不屈の闘志,,,Guildhests,0
376,灰より生まれし者,,,Bennu mount,0
377,戦神の教義　〜皇都イシュガルド防衛戦〜,,,Heavensward cutscenes,Shorter/quick start version
378,石と鋼,,,Heavensward cutscenes,Shorter/quick start version
379,始祖たる幻龍,,,Heavensward cutscenes,Shorter/quick start version
380,ハイパーレインボーＺ,,,Go Go Posing Rangers Theme,Also plays in PotD occasionally
381,自由なる風に吹かれて,,,The Parrock,A 1.0 La Noscea theme
382,Dragonsong,,,The Final Steps of Faith (Nidhogg) / The Minstrel's Ballad: Nidhogg's Rage (Nidhogg) phase 1,0
383,邪竜の急襲　〜ニーズヘッグ征竜戦〜,,,The Final Steps of Faith (Nidhogg) / The Minstrel's Ballad: Nidhogg's Rage (Nidhogg) phase 2,0
384,最期の咆哮　〜ニーズヘッグ征竜戦〜,,,The Final Steps of Faith (Nidhogg) / The Minstrel's Ballad: Nidhogg's Rage (Nidhogg) phase 3,0
385,勝利への猛攻,,,Regula van Hydrus's Theme,0
386,詫言の詩　〜天竜宮殿 ソール・カイ〜,,,Sohr Khai,0
387,聖なる助言者,,,Hullbreaker Isle (Hard),1.0 track
388,草藪を掻きわけ,,,0,1.0 track
389,黒衣の迷宮,,,PotD,1.0 track
390,淡き光の夢に,,,PotD,1.0 track
391,モードゥナの涙雨,,,PotD,1.0 track
392,漆黒のエッダ,,,PotD Floor 50 boss/Edda Blackbosom theme,0
393,雨と涙に濡れて　〜禁忌都市マハ〜,,豪雨に打たれて　〜禁忌都市マハ〜,Weeping City of Mhach,
394,幾千の顔　〜禁忌都市マハ〜,,,Weeping City of Mhach (Ozma add phase),0
395,邪竜の急襲　〜ニーズヘッグ征竜戦〜,,,The Minstrel's Ballad: Nidhogg's Rage (Nidhogg) mount / Dark Lanner,0
396,善王モグル・モグXXII世,,,Fat Moogle Mount,0
397,ローカス　〜機工城アレキサンダー：起動編〜,,,Gobwalker Mount,0
398,雲霧街の夜霧　〜イシュガルド下層：夜〜,,,Heavensward cutscenes,Variant of 278
399,メリー・ワンダラー・ワルツ,,,Palace of the Dead inter-floor theme,0
400,永遠の欠片,,,Alisaie Theme,1.0 track
401,死亡報告,,,PotD pre-floor 100 cutscenes,0
402,女神　〜女神ソフィア討滅戦〜,,,Containment Bay P1T6 (Sophia) phase 2,0
403,ガントレット,,,Duel / Lost Canals of Uznair / Palace of the Dead,0
404,究極幻想,,,Dun Scaith (Proto Ultima),Quick start
405,地殻　〜峻厳渓谷 ゼルファトル〜,,,Xelphatol,0
406,逆襲の咆哮,,,Heavensward boss theme 2,0
407,ビブリオフォビア　〜稀書回収 グブラ幻想図書館〜,,,The Great Gubal Library (Hard),0
408,朝まで大騒ぎ,,,The Haunted Manor (All Saint's Wake),0
409,トイレに行けない夜,,,PotD 91-100 theme,0
410,笛吹大魔王,,,PotD floor 100 boss theme,0
411,指数崩壊　〜機工城アレキサンダー：天動編〜,,,Alexander - The Heart of the Creator (Cruise Chaser),0
